Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2023,01,09,13,00,00,1057.80774
2023,01,09,14,00,00,1423.1642
2023,01,09,15,00,00,1446.57703
2023,01,09,16,00,00,1211.83486
2023,01,09,17,00,00,1022.16936
2023,01,09,18,00,00,773.34884
2023,01,09,19,00,00,902.88957
2023,01,09,20,00,00,1223.92784
2023,01,09,21,00,00,1246.40867
2023,01,09,22,00,00,990.43872
2023,01,09,23,00,00,865.85943
2023,01,10,00,00,00,803.22221
2023,01,10,01,00,00,690.95767
2023,01,10,02,00,00,655.33447
2023,01,10,03,00,00,743.66943
2023,01,10,04,00,00,767.6032
2023,01,10,05,00,00,763.43464
2023,01,10,06,00,00,805.63406
2023,01,10,07,00,00,1123.89083
2023,01,10,08,00,00,1166.71016
2023,01,10,09,00,00,1367.65818
2023,01,10,10,00,00,1172.12635
2023,01,10,11,00,00,1381.73934
2023,01,10,12,00,00,1435.06248
2023,01,10,13,00,00,1784.62463
2023,01,10,14,00,00,2442.91484
2023,01,10,15,00,00,2183.02584
2023,01,10,16,00,00,1472.7785
2023,01,10,17,00,00,1476.06069
2023,01,10,18,00,00,1405.48551
2023,01,10,19,00,00,1428.42017
2023,01,10,20,00,00,1299.34983
2023,01,10,21,00,00,1386.84151
2023,01,10,22,00,00,1111.67446
2023,01,10,23,00,00,632.51994
2023,01,11,00,00,00,409.17063
2023,01,11,01,00,00,286.631
2023,01,11,02,00,00,226.8895
2023,01,11,03,00,00,219.33747
2023,01,11,04,00,00,203.15273
2023,01,11,05,00,00,198.50205
2023,01,11,06,00,00,384.16835
2023,01,11,07,00,00,475.58627
2023,01,11,08,00,00,508.64032
2023,01,11,09,00,00,568.36431
2023,01,11,10,00,00,518.17702
2023,01,11,11,00,00,607.80388
2023,01,11,12,00,00,510.8404
2023,01,11,13,00,00,505.67491
2023,01,11,14,00,00,461.09511
2023,01,11,15,00,00,473.90162
2023,01,11,16,00,00,584.75019
2023,01,11,17,00,00,560.66602
2023,01,11,18,00,00,576.02954
2023,01,11,19,00,00,492.88097
2023,01,11,20,00,00,440.34758
2023,01,11,21,00,00,419.10253
2023,01,11,22,00,00,383.67409
2023,01,11,23,00,00,350.24505
2023,01,12,00,00,00,296.93412
2023,01,12,01,00,00,288.06765
2023,01,12,02,00,00,281.97921
2023,01,12,03,00,00,247.49454
2023,01,12,04,00,00,250.32765
2023,01,12,05,00,00,276.32674
2023,01,12,06,00,00,278.0864
2023,01,12,07,00,00,284.66725
2023,01,12,08,00,00,279.75667
2023,01,12,09,00,00,304.27646
2023,01,12,10,00,00,291.88081
2023,01,12,11,00,00,324.4496
2023,01,12,12,00,00,338.21281
2023,01,12,13,00,00,352.15896
2023,01,12,14,00,00,401.88377
2023,01,12,15,00,00,365.41479
2023,01,12,16,00,00,371.95196
