Year,Month,Day,Hour,Minute,Second,HYY_META.T42,HYY_META.T336
2023,01,10,08,00,00,-6.4675,-6.726
2023,01,10,09,00,00,-6.56317,-6.83683
2023,01,10,10,00,00,-6.753,-7.05233
2023,01,10,11,00,00,-6.87017,-7.193
2023,01,10,12,00,00,-7.0215,-7.3705
2023,01,10,13,00,00,-7.06967,-7.40183
2023,01,10,14,00,00,-6.91383,-7.22983
2023,01,10,15,00,00,-6.75033,-7.0225
2023,01,10,16,00,00,-6.47133,-6.71533
2023,01,10,17,00,00,-6.18433,-6.40583
2023,01,10,18,00,00,-5.72233,-5.93783
2023,01,10,19,00,00,-5.21,-5.40567
2023,01,10,20,00,00,-4.494,-4.64317
2023,01,10,21,00,00,-3.76867,-3.874
2023,01,10,22,00,00,-2.906,-2.93067
2023,01,10,23,00,00,-1.81117,-1.70533
2023,01,11,00,00,00,-0.619,-0.70683
2023,01,11,01,00,00,0.07283,-0.38483
2023,01,11,02,00,00,0.06933,-0.39117
2023,01,11,03,00,00,0.20917,-0.28067
2023,01,11,04,00,00,0.2435,-0.2145
2023,01,11,05,00,00,0.26617,-0.0835
2023,01,11,06,00,00,0.384,0.08367
2023,01,11,07,00,00,0.60117,0.32117
2023,01,11,08,00,00,0.7025,0.4105
2023,01,11,09,00,00,0.87867,0.605
2023,01,11,10,00,00,1.09017,0.7775
2023,01,11,11,00,00,1.12433,0.7825
2023,01,11,12,00,00,1.16983,0.80783
2023,01,11,13,00,00,1.2155,0.85583
2023,01,11,14,00,00,1.24067,0.8905
2023,01,11,15,00,00,1.23933,0.87417
2023,01,11,16,00,00,0.80517,0.38567
2023,01,11,17,00,00,0.40983,0.0195
2023,01,11,18,00,00,0.327,-0.07333
2023,01,11,19,00,00,0.38333,-0.07317
2023,01,11,20,00,00,0.504,-0.0135
2023,01,11,21,00,00,0.82033,0.26883
2023,01,11,22,00,00,0.97467,0.449
2023,01,11,23,00,00,1.00983,0.53333
2023,01,12,00,00,00,1.04717,0.54733
2023,01,12,01,00,00,1.03417,0.58383
2023,01,12,02,00,00,0.94917,0.52183
2023,01,12,03,00,00,0.89567,0.46467
2023,01,12,04,00,00,0.895,0.48233
2023,01,12,05,00,00,0.85283,0.4375
2023,01,12,06,00,00,0.753,0.337
2023,01,12,07,00,00,0.624,0.19833
2023,01,12,08,00,00,0.60117,0.1785
2023,01,12,09,00,00,0.64233,0.216
2023,01,12,10,00,00,0.84967,0.42967
2023,01,12,11,00,00,1.0135,0.5805
2023,01,12,12,00,00,1.19483,0.75433
2023,01,12,13,00,00,1.32133,0.88033
2023,01,12,14,00,00,1.35733,0.92517
2023,01,12,15,00,00,1.195,0.768
2023,01,12,16,00,00,1.27067,0.85383
2023,01,12,17,00,00,1.31833,0.8995
2023,01,12,18,00,00,1.35017,0.939
2023,01,12,19,00,00,1.278,0.8825
2023,01,12,20,00,00,0.87783,0.43933
2023,01,12,21,00,00,0.80467,0.3575
2023,01,12,22,00,00,1.0425,0.6465
2023,01,12,23,00,00,1.5975,1.23633
2023,01,13,00,00,00,1.92517,1.5395
2023,01,13,01,00,00,1.8605,1.469
2023,01,13,02,00,00,1.5735,1.162
2023,01,13,03,00,00,1.4995,1.111
2023,01,13,04,00,00,1.47633,1.06233
2023,01,13,05,00,00,1.43117,0.93233
2023,01,13,06,00,00,1.17183,0.68067
2023,01,13,07,00,00,1.05867,0.53817
2023,01,13,08,00,00,0.95633,0.40683
2023,01,13,09,00,00,0.89767,0.3185
2023,01,13,10,00,00,0.82517,0.23867
2023,01,13,11,00,00,0.70233,0.09333
2023,01,13,12,00,00,0.78317,0.15783
2023,01,13,13,00,00,0.72617,0.22783
2023,01,13,14,00,00,0.63933,0.1785
2023,01,13,15,00,00,0.49633,0.04583
2023,01,13,16,00,00,0.51667,0.13267
2023,01,13,17,00,00,0.4865,0.0805
2023,01,13,18,00,00,0.38367,-0.0375
2023,01,13,19,00,00,0.0855,-0.30733
2023,01,13,20,00,00,0.08617,-0.31583
